plate,well_id,treatment,day0_area_mm,day1_area_mm,day2_area_mm,day3_area_mm,day4_area_mm,day5_area_mm,day6_area_mm,day7_area_mm,day8_area_mm,day9_area_mm,day10_area_mm,RGR,PG,0.046
3,c2,M_N_N,103.914,,,,,,,,,,418.692,5.572779203,3.029216467,
24,b2,TF_N_H,225.86,,,,,,,,,,910.225,6.271700288,3.030040733,
36,c6,W_Y_ODR,246.215,,,,,,,,,,992.611,6.349718331,3.031480617,
16,c2,W_Y_KF,239.936,,,,,,,,,,968.116,6.327314693,3.034892638,
5,a3,W_Y_H,257.186,,,,,,,,,,1038.335,6.390393792,3.037292077,
36,b4,TF_N_KF,127.443,,,,,,,,,,514.809,5.759029038,3.039523552,
17,b4,DR_N_KF,229.126,,,,,,,,,,926.348,6.287822767,3.04296326,
25,d2,M_N_ODR,179.745,,,,,,,,,,727.03,6.069813824,3.044785669,
28,b4,W_N_ODR,205.16,,,,,,,,,,830.07,6.189131018,3.045964126,
25,b1,M_Y_KF,138.506,,,,,,,,,,561.476,5.837477666,3.053802723,
9,d1,W_Y_N,218.615,,,,,,,,,,888.858,6.251206274,3.065860074,
28,b1,DR_Y_ODR,256.887,,,,,,,,,,1045.143,6.397045367,3.068493151,
11,a4,DR_Y_H,240.741,,,,,,,,,,980.375,6.339562985,3.072322537,
3,b5,LR_N_H,184.644,,,,,,,,,,752.928,6.102126641,3.077727952,
1,c4,M_N_ODR,194.718,,,,,,,,,,794.374,6.150399147,3.079612568,
31,c1,DR_Y_ODR,195.638,,,,,,,,,,798.491,6.155097095,3.081471902,
15,d5,UM_N_N,123.579,,,,,,,,,,505.195,5.743256431,3.088032756,
8,c2,TF_Y_H,242.627,,,,,,,,,,992.013,6.350583684,3.088633994,
35,c2,M_N_ODR,217.488,,,,,,,,,,889.64,6.252602519,3.090524535,
13,c2,W_Y_KF,250.01,,,,,,,,,,1022.787,6.378136441,3.090984361,
14,c4,TF_Y_N,196.535,,,,,,,,,,804.149,6.161700522,3.091632534,
11,b6,LR_N_KF,135.884,,,,,,,,,,556.117,5.829798546,3.092586324,
33,b1,W_Y_H,191.291,,,,,,,,,,783.61,6.138531865,3.096429001,
1,a3,M_Y_H,166.589,,,,,,,,,,682.548,6.014279884,3.097197294,
40,d2,W_Y_H,199.341,,,,,,,,,,816.914,6.176032134,3.098073151,
9,a2,W_N_ODR,226.113,,,,,,,,,,928.556,6.291527204,3.106601566,
11,d6,LR_N_N,209.668,,,,,,,,,,861.879,6.224562357,3.110684511,
35,d5,UM_N_H,265.65,,,,,,,,,,1095.812,6.441032955,3.125021645,
29,d4,M_Y_N,184.506,,,,,,,,,,761.645,6.11371237,3.128022937,
25,d4,DR_N_ODR,231.679,,,,,,,,,,957.214,6.319491703,3.131639035,
18,d3,M_Y_KF,176.387,,,,,,,,,,729.583,6.075205094,3.136262877,
26,c6,TF_Y_KF,171.672,,,,,,,,,,711.183,6.325762267,3.142684887,
17,c3,DR_Y_N,224.296,,,,,,,,,,930.028,6.293918032,3.146431501,
12,a2,W_Y_ODR,236.624,,,,,,,,,,981.479,6.342413379,3.147842146,
37,b6,UM_N_ODR,143.198,,,,,,,,,,594.343,5.891033765,3.150497912,
16,c4,LR_Y_KF,149.661,,,,,,,,,,622.219,5.932454847,3.157522668,
6,a3,LR_N_H,297.666,,,,,,,,,,1238.205,6.551820824,3.159712564,
3,c4,UM_N_N,108.33,,,,,,,,,,451.283,5.643576425,3.16581741,
13,a1,W_N_ODR,249.504,,,,,,,,,,1040.083,6.395108302,3.168602507,
28,a4,W_N_KF,204.056,,,,,,,,,,851.368,6.215005021,3.172227232,
28,a6,LR_Y_KF,157.918,,,,,,,,,,658.996,5.984509874,3.173026507,
16,b6,TF_N_ODR,177.583,,,,,,,,,,741.796,6.091130462,3.177179122,
34,b5,TF_N_ODR,174.547,,,,,,,,,,730.894,6.078049038,3.187376466,
19,b5,M_Y_H,201.273,,,,,,,,,,843.571,6.207177852,3.191178151,
33,c4,LR_Y_N,130.778,,,,,,,,,,548.688,5.820179851,3.195568062,
16,d1,W_N_H,201.043,,,,,,,,,,844.997,6.208981196,3.203066011,
17,c4,DR_N_N,138.46,,,,,,,,,,582.314,5.873951674,3.205647841,
22,a3,DR_Y_ODR,243.34,,,,,,,,,,1025.317,6.383311148,3.213516068,
6,d2,M_N_ODR,227.286,,,,,,,,,,957.904,6.322126651,3.214531471,
17,c1,LR_N_N,160.379,,,,,,,,,,676.108,6.00859885,3.215689086,
35,b4,LR_Y_KF,150.949,,,,,,,,,,638.342,5.957179987,3.228858754,
7,a6,M_N_N,166.221,,,,,,,,,,703.133,6.04421424,3.230109312,
4,a6,DR_N_H,230.782,,,,,,,,,,977.04,6.340380239,3.23360574,
40,c3,TF_N_ODR,194.603,,,,,,,,,,824.412,6.187574246,3.236378679,
17,d2,LR_N_H,130.847,,,,,,,,,,554.553,5.830759514,3.238178942,
23,d5,DR_N_ODR,208.587,,,,,,,,,,884.603,6.251103335,3.240930643,
25,b4,DR_N_KF,241.362,,,,,,,,,,1023.776,6.382623244,3.241661902,
26,c3,W_Y_KF,134.711,,,,,,,,,,572.056,5.968272727,3.246542599,
36,a4,TF_N_H,263.626,,,,,,,,,,1119.686,6.463350425,3.247251789,
